Audit violations for Tiendita at 05/05/15 05:15 AM,,,,
,,,,
Description,Recommendations,Severity,Resource,Line
Empty Catch Clause (3),,,,
Empty catch clause for exception ex,Delete the empty catch clause.,Medium Severity,CVenta.java,Line 88
Empty catch clause for exception ex,Delete the empty catch clause.,Medium Severity,ProductoDAO.java,Line 36
Empty catch clause for exception e2,Delete the empty catch clause.,Medium Severity,ProductoDAO.java,Line 85
Log Exceptions (8),,,,
Caught exception not logged,Use one of the logging methods to log the exception.,Medium Severity,CAgregarProducto.java,Line 46
Caught exception not logged,Use one of the logging methods to log the exception.,Medium Severity,CAgregarProducto.java,Line 63
Caught exception not logged,Use one of the logging methods to log the exception.,Medium Severity,CVenta.java,Line 48
Caught exception not logged,Use one of the logging methods to log the exception.,Medium Severity,CVenta.java,Line 88
Caught exception not logged,Use one of the logging methods to log the exception.,Medium Severity,ProductoDAO.java,Line 30
Caught exception not logged,Use one of the logging methods to log the exception.,Medium Severity,ProductoDAO.java,Line 36
Caught exception not logged,Use one of the logging methods to log the exception.,Medium Severity,ProductoDAO.java,Line 76
Caught exception not logged,Use one of the logging methods to log the exception.,Medium Severity,ProductoDAO.java,Line 85
Unnecessary Import Declarations (12),,,,
Unnecessary import: import java.io.*;,Unnecessary import: null,Medium Severity,CAgregarProducto.java,Line 3
Unnecessary import: import java.io.*;,Unnecessary import: null,Medium Severity,CVenta.java,Line 4
Unnecessary import: import java.util.logging.Level;,Delete the import.,Medium Severity,CVenta.java,Line 7
Unnecessary import: import java.util.logging.Logger;,Delete the import.,Medium Severity,CVenta.java,Line 8
Unnecessary import: import java.io.BufferedReader;,Delete the import.,Medium Severity,VentaDAO.java,Line 3
Unnecessary import: import java.io.File;,Delete the import.,Medium Severity,VentaDAO.java,Line 4
Unnecessary import: import java.io.FileReader;,Delete the import.,Medium Severity,VentaDAO.java,Line 5
Unnecessary import: import java.io.FileWriter;,Delete the import.,Medium Severity,VentaDAO.java,Line 6
Unnecessary import: import java.io.IOException;,Delete the import.,Medium Severity,VentaDAO.java,Line 7
Unnecessary import: import java.io.PrintWriter;,Delete the import.,Medium Severity,VentaDAO.java,Line 8
Unnecessary import: import java.util.ArrayList;,Delete the import.,Medium Severity,VentaDAO.java,Line 9
Unnecessary import: import tiendita.modelo.Venta;,Delete the import.,Medium Severity,VentaDAO.java,Line 10
