Project Name,Checkpoint Name,Created On,File Name,Lines*,Statements,Percent Branch Statements,Method Call Statements,Percent Lines with Comments,Classes and Interfaces,Methods per Class,Average Statements per Method,Line Number of Most Complex Method*,Name of Most Complex Method*,Maximum Complexity*,Line Number of Deepest Block,Maximum Block Depth,Average Block Depth,Average Complexity*,Statements at block level 0,Statements at block level 1,Statements at block level 2,Statements at block level 3,Statements at block level 4,Statements at block level 5,Statements at block level 6,Statements at block level 7,Statements at block level 8,Statements at block level 9
Tiendita,Baseline,04 may 2015,tiendita\controlador\CAgregarProducto.java,67,43,18.6,9,6.0,1,6.00,4.67,36,CAgregarProducto.validarPrecio(),4,40,4,1.98,2.33,6,9,12,12,4,0,0,0,0,0
Tiendita,Baseline,04 may 2015,tiendita\controlador\CVenta.java,114,79,16.5,41,3.5,1,9.00,5.44,38,CVenta.validarCodigoV(),4,42,4,1.71,2.44,18,12,26,21,2,0,0,0,0,0
Tiendita,Baseline,04 may 2015,tiendita\controlador\IAgregarProducto.java,19,9,0.0,0,21.1,1,5.00,0.00,,,0,18,1,0.56,0.00,4,5,0,0,0,0,0,0,0,0
Tiendita,Baseline,04 may 2015,tiendita\controlador\IVenta.java,19,14,0.0,0,21.1,1,8.00,0.00,,,0,15,1,0.57,0.00,6,8,0,0,0,0,0,0,0,0
Tiendita,Baseline,04 may 2015,tiendita\controlador\Main.java,19,12,0.0,4,21.1,1,2.00,2.00,16,Main.main(),1,17,2,1.00,1.00,4,4,4,0,0,0,0,0,0,0
Tiendita,Baseline,04 may 2015,tiendita\controlador\ProductoDAO.java,77,59,25.4,21,5.2,1,2.00,26.00,40,ProductoDAO.leer(),6,61,6,3.19,5.50,5,2,12,19,8,5,8,0,0,0
Tiendita,Baseline,04 may 2015,tiendita\controlador\VentaDAO.java,82,10,0.0,0,95.1,1,0.00,0.00,,,0,1,0,0.00,0.00,10,0,0,0,0,0,0,0,0,0
Tiendita,Baseline,04 may 2015,tiendita\modelo\Producto.java,44,29,0.0,1,9.1,1,10.00,1.30,14,Producto.setImagen(),1,15,2,1.38,1.00,2,14,13,0,0,0,0,0,0,0
Tiendita,Baseline,04 may 2015,tiendita\modelo\Venta.java,52,35,0.0,1,7.7,1,12.00,1.33,16,Venta.setPrecioTotal(),1,17,2,1.40,1.00,2,17,16,0,0,0,0,0,0,0
Tiendita,Baseline,04 may 2015,tiendita\vista\UIAgregarProducto.java,164,77,7.8,128,14.6,3,2.00,9.00,149,UIAgregarProducto.btnAgregarActionPerformed(),7,154,5,1.87,2.00,6,19,42,5,5,2,0,0,0,0
Tiendita,Baseline,04 may 2015,tiendita\vista\UIMain.java,299,145,5.5,241,9.0,6,1.83,9.36,274,UIMain.btnVentaActionPerformed(),9,279,6,1.89,1.73,7,40,82,9,8,3,1,0,0,0
